item,Word,VALENCE,AROUSAL,DOMINANCE,NLETTERS,NSYLLABLES,Log_Freq_HAL,Ortho_N,BG_byPOS,CONCRETENESS,Log_Freq_SUBTLEX,LEN_orthoN,LEXFREQ,VALDOM,BGFREQ,CONCRETE
192_DI,foolish,3,4.57,3.9,7,2,8.66,-0.69,8.24,1.84,6.79,0.28,0.96,-1.34,-0.31,-1.55
193_HA,spicy,6.32,6.63,5.55,5,2,6.74,1.25,7.18,3.31,5.13,-0.78,-0.77,0.79,-1.5,-0.16
194_LA,acre,5.53,2.73,4.94,4,2,7.35,1.25,7.33,4.18,4.53,-0.95,-0.71,0.17,-1.16,0.78
195_DI,pushy,3.1,4.6,4.23,5,2,6.04,1.5,7.29,2.48,4.8,-1.21,-0.96,-0.96,-1.16,-1.05
196_HA,crusade,4.24,6.2,4.71,7,2,8.89,-0.69,7.73,2.78,5.27,0.59,0.4,-0.44,-1.18,-0.66
197_LA,gospel,5.28,2.7,3.84,6,2,8.38,-0.69,7.74,3.82,5.08,0.52,0.15,-0.52,-1.2,0.57
198_DI,ruling,4.22,4.52,5.47,6,2,9.09,-0.69,8.08,2.32,5.34,0.24,0.44,-0.1,-0.69,-1.21
199_HA,liar,2.41,6.6,4.74,4,2,8.72,-0.69,7.4,3.43,7.49,0.47,1.05,-1.16,-1.89,-0.12
200_LA,empty,3.78,2.25,3.61,5,2,9.87,-0.69,6.88,3.43,7.79,1.1,1.57,-1.24,-2.76,-0.01
201_DI,virus,1.71,4.61,3.06,5,2,10.1,-0.69,7.28,3.48,6.87,0.77,1.47,-2.25,-1.92,0.04
202_HA,pleasure,7.8,6.8,7.18,8,2,9.73,-0.69,7.97,2.04,8.32,0.83,1.51,1.93,-0.83,-1.42
203_LA,patient,6.71,2.77,4.83,7,2,9.59,-0.69,8.5,2.5,8.09,0.41,1.58,0.33,0.12,-0.7
204_DI,survive,6.9,4.53,6.21,7,2,9.51,-0.69,7.94,2.55,7.34,0.67,1.16,1.15,-0.9,-0.87
205_HA,warning,3.48,6.25,6.47,7,2,10,1.7,8.87,3.21,7.4,-1.66,1.36,-0.02,2.3,-0.14
206_LA,willing,6.83,2.76,6.5,7,2,10.93,1.87,8.85,2.07,7.83,-1.57,1.7,1.16,2.08,-1.24
207_DI,stealing,2.75,4.57,5.5,8,2,8.46,0.92,8.94,3.28,7.14,-1.18,0.89,-0.71,2.1,0.04
208_HA,turbulence,2.95,6.45,2.67,10,3,6.63,-0.69,8.3,3.57,4.6,0.79,-0.22,-1.85,0.33,0.56
209_LA,godfather,6.24,2.83,4.78,9,3,6.78,-0.69,7.94,4.14,5.63,1.04,-0.11,0.33,-0.49,1.07
210_DI,gymnastics,5.45,4.57,5.21,10,3,6.45,-0.69,8.09,4.04,4.36,0.93,-0.62,0.32,-0.11,0.91
211_HA,famine,2.95,6.1,3.09,6,2,6.95,-0.69,8.12,3.55,4.39,0.05,-0.45,-1.67,-0.5,0.3
212_LA,vacant,4.64,2.86,5.4,6,2,7.21,-0.69,7.85,3.5,4.91,0.26,-0.39,0.08,-1.05,0.07
213_DI,cipher,5.71,4.55,5.53,6,2,7.19,-0.69,8.19,3.58,4.33,0.07,-0.62,0.51,-0.49,0.23
214_HA,rush,4.05,6.55,6.79,4,1,10.24,2.6,7.12,2.9,7.38,-1.93,0.99,0.43,-0.89,-0.86
215_LA,slow,4,2.89,5.39,4,1,10.69,2.6,7.23,3.28,8.26,-1.87,1.55,-0.35,-0.61,-0.29
216_DI,load,4.43,4.55,6.68,4,1,10.61,2.25,7.19,3.63,7.31,-1.66,1.13,0.48,-0.85,-0.05
217_HA,kiss,7.78,6.05,6.52,4,1,9.46,1.7,7.79,4.48,8.73,-1.5,1.2,1.51,-0.12,1.17
218_LA,tree,7.59,2.67,5.62,4,1,10.21,1.5,7.99,5,8.11,-1.41,1.35,0.96,0.23,1.81
219_DI,paint,5.74,4.5,6.56,5,1,9.68,1.87,8.04,4.79,7.54,-1.77,0.97,0.82,0.66,1.45
220_HA,assassination,1.83,6.2,4,13,5,8.33,-0.69,8.66,3.8,5.64,1.77,1.04,-1.66,1.67,0.88
221_LA,transportation,6.1,2.38,5.37,14,4,9.19,-0.69,8.68,3.89,5.65,1.72,1.04,0.51,1.54,1.01
222_DI,examination,5.05,4.5,5.05,11,5,8.47,-0.69,9.03,3.93,5.64,1.43,0.89,-0.05,2,1.05
223_HA,bang,5.1,6.09,4.89,4,1,8.82,2.6,8.04,3.77,6.93,-2.5,0.49,-0.18,0.78,0.45
224_LA,gray,3.68,2.81,4.77,4,1,9.45,2.14,7.75,3.46,6.98,-2.02,0.8,-0.73,0.07,0.01
225_DI,halt,4.42,4.57,4.37,4,1,8.3,2.25,7.73,3.38,6.35,-2.16,0.16,-0.61,-0.01,-0.01
226_HA,intelligence,7.65,6.32,6.72,12,4,10.2,-0.69,8.81,2.24,6.89,1.52,1.63,1.67,1.34,-0.87
227_LA,comfortable,7.67,2.38,6.89,11,4,9.7,0.41,8.7,2.33,7.79,0.7,1.64,1.74,1.61,-0.78
228_DI,confidential,6.05,4.5,5,12,4,9.11,-0.69,9.08,2.08,5.83,1.2,1.06,0.29,1.83,-0.92
229_HA,gold,7.28,6.35,5.8,4,1,10.88,2.44,7.32,4.81,8.3,-1.62,1.53,0.97,-0.48,1.49
230_LA,foot,4.68,2.77,5.97,4,1,10.09,2.44,7.66,4.9,8.11,-2.02,1.28,0.14,0.24,1.51
231_DI,face,6.36,4.59,5.96,4,1,11.26,2.44,7.38,4.87,9.6,-1.61,2.13,0.66,-0.29,1.53
232_HA,hero,7.44,6.35,5.78,4,2,9.68,1.87,7.86,3.07,7.84,-1.34,1.13,1.07,0.02,-0.28
233_LA,grow,6.28,2.6,5.5,4,1,10.12,1.7,7.84,3.03,8.02,-1.58,1.3,0.5,-0.14,-0.4
234_DI,grab,5.44,4.5,5.28,4,1,9.23,2.01,7.77,3.52,8.19,-1.84,1.05,0.11,-0.03,0.13
235_HA,crocodile,3.15,6.48,3.47,9,3,6.26,-0.69,8.28,4.83,4.74,0.68,-0.38,-1.41,0.34,1.84
236_LA,wallpaper,5.38,2.81,5.64,9,3,6.9,-0.69,8.33,4.62,5.14,0.74,-0.22,0.43,0.33,1.52
237_DI,flamingo,6.74,4.59,6.19,8,3,6.36,-0.69,8.72,4.81,4.09,0.34,-0.85,1.2,0.86,1.74
238_HA,breakup,2.19,6.33,3.72,7,2,6.57,-0.69,8.02,2,5,0.13,-0.38,-1.58,-0.75,-1.44
239_LA,whatnot,5.48,2.59,6.06,7,2,6.87,-0.69,7.66,1.92,4.62,0.43,-0.68,0.78,-1.56,-1.67
240_DI,hearsay,3.82,4.59,4.32,7,2,6.86,-0.69,8.07,1.82,4.36,0.14,-0.58,-0.69,-0.76,-1.63
