Name,Count
Ava-Lily,1
Ava-Louise,2
Ava-Mae,2
Ava-Mai,1
Ava-Marie,1
Ava-May,3
Ava-Noor,1
Ava-Rose,7
Avah,5
Avah-Grace,1
Avah-Leigh,1
Avah-Remi,1
Avalouise,1
Avalyn,1
Avana,1
Avani,1
Avanna,3
Avannah-Rose,1
Avanthika,1
Avara-Rachel,1
Avarobin,1
Averie,4
Avery,12
Avey,1
Aviana,1
Avianah,1
Avie,1
Avisha,1
Avleen,2
Avril,1
Awia,1
Aya,8
Ayaat,1
Ayah,3
Ayan,1
Ayana,4
Ayanda,1
Ayanna,1
Ayat,7
Ayawa,1
Ayda,28
Aydah,2
Ayeesha,1
Ayesha,14
Ayeza,1
Ayla,68
Ayla-Neve,1
Ayla-Nur,1
Ayla-Sway,1
Aylah,4
Aylee,1
Ayleesha,1
Ayleigh,4
Aylie,1
Ayllie,1
Ayllis,1
Ayni,1
Aynoor,1
Ayomide,2
Ayra,3
Ayrah,2
Aysha,4
Ayva,2
Ayvah,2
Ayvah-Mai,1
Ayza,1
Azalea,1
Azaria,1
Azealia,1
Aziza,2
Baby,1
Bailey,7
Bailie,1
Baillie,2
Bali,1
Bana,1
Barbara,6
Barirah,1
Basma,1
Baylie,1
Beatrice,6
Beatrice-Stefania,1
Beatrix,5
Beatriz,3
Beau,9
Beaux,2
Becca,2
Bee,1
Belinda,1
Bella,62
Bella-Amber,1
Bella-Mai,1
Bella-May,2
Bella-Rose,2
Bella-Sophia,1
Bellah,1
Belle,30
Beloslava,1
Benedicta,1
Benedita,1
Bernie,1
Berri,1
Berrie,1
Bertha,1
Bessie,1
Bessy,1
Beth,34
Bethan,1
Bethany,23
Bethel,1
Betsi,1
Betsie,1
Betsy,3
Betty-Lou,1
Bexley,1
Bhavika,1
Bhavroop,1
Bhavyasri,1
Bianca,4
Bianka,4
Biba,1
Bibiana,3
Biddy,1
Billie,19
Billie-Beau,1
Billie-Jo,2
Billie-Joe,1
Binnie,1
Binta,1
Bintou,1
Birdie,1
Birgul,1
Bisma,2
Blair,12
Blaire,12
Blake,26
Blake-Eva,1
Blanca,1
Blanka,3
Blare,1
Blayke,2
Blayne,2
Blayr,2
Blessing,2
Bllyss,1
Blossom,2
Bluebell,1
Blythe,3
Bobbi,7
Bobbi-Jo,1
Bobbie,2
Bodhi-Skye,1
Boglarka,1
Bogna,1
Bojanka,1
Boni,1
Bonita,1
Bonni,4
Bonnie,59
Bonnie-Roze,1
Boudicca,1
Bow,1
Bowie,1
Bozena,1
Brackyn,1
Brea,3
Breagha,13
Breah,1
Breanna,3
Bree,2
Breeanne,1
Breia,1
Breigha,1
Breiya,1
Brenna,1
Bria,4
Briana,2
Brianagh,1
Brianna,4
Briar,1
Bridget,2
Brie,2
Brielle,1
Brienna,1
Brinna,1
Brodi-Georgia,1
Brodie,7
Brogan,2
Broghan,1
Bronagh,3
Bronte,1
Bronwen,1
Bronwyn,4
Brooke,58
Brooke-Ashley,1
Brooklyn,14
Brooklynn,2
Brora,1
Bruke,1
Bryar,1
Brynn,1
Bryoni,1
Bryony,3
Buthaynah,1
Cacie-Leigh,1
Cadence,3
Cadha,2
Caelagh,1
Caelah,1
Caelan,1
Caelyn,2
Cafia,1
Cahli-Aryah,1
Cahlysi,1
Caida,1
Caidie,1
Caila,2
Cailey,1
Cailin-Marie,1
Cailyn,2
Caishlyn,1
Caiside,1
Cait,2
Caitie,1
Caitlin,24
Caitlyn,16
Caleigh,1
Caleila,1
Cali,24
Cali-Jae,1
Cali-Rose,1
Calia,1
Calie,1
Calise,1
Calista,1
Calla,8
Callaigh,1
Calleigh,1
Calley,1
Calli,2
Callia,2
Callie,56
Callie-Jane,1
Callie-Louise,1
Callie-Rose,2
Calliesi,1
Calliope,1
Callista,1
Callumina,1
Cally,1
Cally-Jo,1
Camdyn,1
Cameron,4
Cami,1
Camikah,1
Camila,1
Camilla,8
Camille,4
Cammie,1
Camryn,3
Candice,1
Cannes,1
Caoilainn,1
